qtype,Question,Answer
exams and tests,How to diagnose High Blood Pressure and Kidney Disease ?,"A health care provider diagnoses high blood pressure when multiple blood pressure testsoften repeated over several visits to a health care providers officeshow that a systolic blood pressure is consistently above 140 or a diastolic blood pressure is consistently above 90. Health care providers measure blood pressure with a blood pressure cuff. People can also buy blood pressure cuffs at discount chain stores and drugstores to monitor their blood pressure at home.
                
Kidney disease is diagnosed with urine and blood tests.
                
Urine Tests
                
Dipstick test for albumin. A dipstick test performed on a urine sample can detect the presence of albumin in the urine. Albumin is a protein in the blood that can pass into the urine when the kidneys are damaged. A patient collects the urine sample in a special container in a health care providers office or a commercial facility. The office or facility tests the sample onsite or sends it to a lab for analysis. For the test, a nurse or technician places a strip of chemically treated paper, called a dipstick, into the urine. Patches on the dipstick change color when blood or protein is present in urine.
                
Urine albumin-to-creatinine ratio. A health care provider uses the albumin and creatinine measurement to determine the ratio between the albumin and creatinine in the urine. Creatinine is a waste product in the blood that is filtered in the kidneys and excreted in the urine. A urine albumin-to-creatinine ratio above 30 mg/g may be a sign of kidney disease.
                
Blood Test
                
A blood test involves having blood drawn at a health care providers office or a commercial facility and sending the sample to a lab for analysis. A health care provider may order a blood test to estimate how much blood the kidneys filter each minute, called the estimated glomerular filtration rate (eGFR). The results of the test indicate the following:
                
- eGFR of 60 or above is in the normal range  - eGFR below 60 may indicate kidney damage  - eGFR of 15 or below may indicate kidney failure
                

                
Get Screened for Kidney Disease   Kidney disease, when found early, can be treated to prevent more serious disease and other complications. The National Kidney Foundation recommends people with high blood pressure receive the following regular screenings:   - blood pressure tests   - urine albumin   - eGFR    Health care providers will help determine how often people with high blood pressure should be screened."
prevention,How to prevent High Blood Pressure and Kidney Disease ?,"The best way to slow or prevent kidney disease from high blood pressure is to take steps to lower blood pressure. These steps include a combination of medication and lifestyle changes, such as
                
- healthy eating  - physical activity  - maintaining a healthy weight  - quitting smoking  - managing stress
                
No matter what the cause of the kidney disease, high blood pressure can increase damage to the kidneys. People with kidney disease should keep their blood pressure below 140/90.4
                
Medication
                
Medications that lower blood pressure can also significantly slow the progression of kidney disease. Two types of blood pressure-lowering medications, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have been shown effective in slowing the progression of kidney disease. Many people require two or more medications to control their blood pressure. In addition to an ACE inhibitor or an ARB, a health care provider may prescribe a diuretica medication that helps the kidneys remove fluid from the blood. A person may also need beta blockers, calcium channel blockers, and other blood pressure medications."
considerations,What to do for High Blood Pressure and Kidney Disease ?,"Following a healthy eating plan can help lower blood pressure. A health care provider may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan. DASH focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and lower in sodium, which often comes from salt. The DASH eating plan
                
- is low in fat and cholesterol  - features fat-free or low-fat milk and dairy products, fish, poultry, and nuts  - suggests less red meat, sweets, added sugars, and sugar-containing beverages  - is rich in nutrients, protein, and fiber
                
Read more about DASH at www.nhlbi.nih.gov/health/resources/heart/hbp-dash-index.htm.
                
A dietitian may also recommend this type of diet for people who have already developed kidney disease. A diet low in sodium and liquid intake can help reduce edema and lower blood pressure. Reducing saturated fat and cholesterol can help control high levels of lipids, or fats, in the blood.
                
Health care providers may recommend that people with kidney disease eat moderate or reduced amounts of protein, though the benefits of reducing protein in a persons diet is still being researched. Proteins break down into waste products that the kidneys filter from the blood. Eating more protein than the body needs may burden the kidneys and cause kidney function to decline faster. However, protein intake that is too low may lead to malnutrition, a condition that occurs when the body does not get enough nutrients. People with kidney disease who are on a restricted protein diet should be monitored with blood tests that can show low nutrient levels.
                
In addition, consuming too much alcohol raises blood pressure, so people should limit alcoholic drinkstwo per day for men and one per day for women.
                
A health care provider can help people change their diet to meet their individual needs.
                
Physical Activity
                
Regular physical activity can lower blood pressure and reduce the chances of other health problems. A health care provider can provide information about how much and what kinds of activity are safe. Most people should try to get at least 30 to 60 minutes of activity most or all days of the week. A person can do all physical activity at once or break up activities into shorter periods of at least 10 minutes each. Moderate activities include brisk walking, dancing, bowling, riding a bike, working in a garden, and cleaning the house.
                
Body Weight
                
People who are overweight or obese should aim to reduce their weight by 7 to 10 percent during the first year of treatment for high blood pressure. This amount of weight loss can lower the chance of health problems related to high blood pressure. Overweight is defined as a body mass index (BMI)a measurement of weight in relation to heightof 25 to 29. A BMI of 30 or higher is considered obese. A BMI lower than 25 is the goal for keeping blood pressure under control.5
                
Smoking
                
People who smoke should quit. Smoking can damage blood vessels, raise the chance of high blood pressure, and worsen health problems related to high blood pressure. People with high blood pressure should talk with their health care provider about programs and products they can use to quit smoking.
                
Stress
                
Learning how to manage stress, relax, and cope with problems can improve emotional and physical health. Some activities that may help reduce stress include
                
- exercising  - practicing yoga or tai chi  - listening to music  - focusing on something calm or peaceful  - meditating"
considerations,What to do for High Blood Pressure and Kidney Disease ?,"- Blood pressure is the force of blood pushing against blood vessel walls as the heart pumps out blood, and high blood pressure, also called hypertension, is an increase in the amount of force that blood places on blood vessels as it moves through the body.  - High blood pressure can damage blood vessels in the kidneys, reducing their ability to work properly. When the force of blood flow is high, blood vessels stretch so blood flows more easily. Eventually, this stretching scars and weakens blood vessels throughout the body, including those in the kidneys.  - High blood pressure is the second leading cause of kidney failure in the United States after diabetes.  - A health care provider diagnoses high blood pressure when multiple blood pressure testsoften repeated over several visits to a health care providers officeshow that a systolic blood pressure is consistently above 140 or a diastolic blood pressure is consistently above 90.  - Kidney disease is diagnosed with urine and blood tests.  - The best way to slow or prevent kidney damage from high blood pressure is to take steps to lower blood pressure. These steps include a combination of medication and lifestyle changes, such as      - healthy eating    - physical activity    - maintaining a healthy weight    - quitting smoking    - managing stress    - No matter what the cause of the kidney disease, high blood pressure can increase damage to the kidneys. People with kidney disease should keep their blood pressure below 140/90."
complications,What are the complications of Anemia in Chronic Kidney Disease ?,"Heart problems are a complication of anemia and may include
                
- an irregular heartbeat or an unusually fast heartbeat, especially when exercising.  - the harmful enlargement of muscles in the heart.  - heart failure, which does not mean the heart suddenly stops working. Instead, heart failure is a long-lasting condition in which the heart cant pump enough blood to meet the bodys needs."
prevention,How to prevent Kidney Disease of Diabetes ?,"Blood Pressure Medicines
                
Scientists have made great progress in developing methods that slow the onset and progression of kidney disease in people with diabetes. Drugs used to lower blood pressure can slow the progression of kidney disease significantly. Two types of drugs, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have proven effective in slowing the progression of kidney disease. Many people require two or more drugs to control their blood pressure. In addition to an ACE inhibitor or an ARB, a diuretic can also be useful. Beta blockers, calcium channel blockers, and other blood pressure drugs may also be needed.
                
An example of an effective ACE inhibitor is lisinopril (Prinivil, Zestril), which doctors commonly prescribe for treating kidney disease of diabetes. The benefits of lisinopril extend beyond its ability to lower blood pressure: it may directly protect the kidneys' glomeruli. ACE inhibitors have lowered proteinuria and slowed deterioration even in people with diabetes who did not have high blood pressure.
                
An example of an effective ARB is losartan (Cozaar), which has also been shown to protect kidney function and lower the risk of cardiovascular events.
                
Patients with even mild hypertension or persistent microalbuminuria should consult a health care provider about the use of antihypertensive medicines.
                
Moderate-protein Diets
                
In people with diabetes, excessive consumption of protein may be harmful. Experts recommend that people with kidney disease of diabetes consume the recommended dietary allowance for protein, but avoid high-protein diets. For people with greatly reduced kidney function, a diet containing reduced amounts of protein may help delay the onset of kidney failure. Anyone following a reduced-protein diet should work with a dietitian to ensure adequate nutrition.
                
Intensive Management of Blood Glucose
                
Antihypertensive drugs and low-protein diets can slow CKD. A third treatment, known as intensive management of blood glucose or glycemic control, has shown great promise for people with diabetes, especially for those in the early stages of CKD.
                
The human body normally converts food to glucose, the simple sugar that is the main source of energy for the body's cells. To enter cells, glucose needs the help of insulin, a hormone produced by the pancreas. When a person does not make enough insulin, or the body does not respond to the insulin that is present, the body cannot process glucose, and it builds up in the bloodstream. High levels of glucose in the blood lead to a diagnosis of diabetes.
                
Intensive management of blood glucose is a treatment regimen that aims to keep blood glucose levels close to normal. The regimen includes testing blood glucose frequently, administering insulin throughout the day on the basis of food intake and physical activity, following a diet and activity plan, and consulting a health care team regularly. Some people use an insulin pump to supply insulin throughout the day.
                
A number of studies have pointed to the beneficial effects of intensive management of blood glucose. In the Diabetes Control and Complications Trial supported by the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), researchers found a 50 percent decrease in both development and progression of early diabetic kidney disease in participants who followed an intensive regimen for controlling blood glucose levels. The intensively managed patients had average blood glucose levels of 150 milligrams per deciliterabout 80 milligrams per deciliter lower than the levels observed in the conventionally managed patients. The United Kingdom Prospective Diabetes Study, conducted from 1976 to 1997, showed conclusively that, in people with improved blood glucose control, the risk of early kidney disease was reduced by a third. Additional studies conducted over the past decades have clearly established that any program resulting in sustained lowering of blood glucose levels will be beneficial to patients in the early stages of CKD."
prevention,How to prevent Kidney Disease of Diabetes ?,"Blood Pressure Medicines
                
Scientists have made great progress in developing methods that slow the onset and progression of kidney disease in people with diabetes. Drugs used to lower blood pressure can slow the progression of kidney disease significantly. Two types of drugs, angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), have proven effective in slowing the progression of kidney disease. Many people require two or more drugs to control their blood pressure. In addition to an ACE inhibitor or an ARB, a diuretic can also be useful. Beta blockers, calcium channel blockers, and other blood pressure drugs may also be needed.
                
An example of an effective ACE inhibitor is lisinopril (Prinivil, Zestril), which doctors commonly prescribe for treating kidney disease of diabetes. The benefits of lisinopril extend beyond its ability to lower blood pressure: it may directly protect the kidneys' glomeruli. ACE inhibitors have lowered proteinuria and slowed deterioration even in people with diabetes who did not have high blood pressure.
                
An example of an effective ARB is losartan (Cozaar), which has also been shown to protect kidney function and lower the risk of cardiovascular events.
                
Patients with even mild hypertension or persistent microalbuminuria should consult a health care provider about the use of antihypertensive medicines.
                
Moderate-protein Diets
                
In people with diabetes, excessive consumption of protein may be harmful. Experts recommend that people with kidney disease of diabetes consume the recommended dietary allowance for protein, but avoid high-protein diets. For people with greatly reduced kidney function, a diet containing reduced amounts of protein may help delay the onset of kidney failure. Anyone following a reduced-protein diet should work with a dietitian to ensure adequate nutrition.
                
Intensive Management of Blood Glucose
                
Antihypertensive drugs and low-protein diets can slow CKD. A third treatment, known as intensive management of blood glucose or glycemic control, has shown great promise for people with diabetes, especially for those in the early stages of CKD.
                
The human body normally converts food to glucose, the simple sugar that is the main source of energy for the body's cells. To enter cells, glucose needs the help of insulin, a hormone produced by the pancreas. When a person does not make enough insulin, or the body does not respond to the insulin that is present, the body cannot process glucose, and it builds up in the bloodstream. High levels of glucose in the blood lead to a diagnosis of diabetes.
                
Intensive management of blood glucose is a treatment regimen that aims to keep blood glucose levels close to normal. The regimen includes testing blood glucose frequently, administering insulin throughout the day on the basis of food intake and physical activity, following a diet and activity plan, and consulting a health care team regularly. Some people use an insulin pump to supply insulin throughout the day.
                
A number of studies have pointed to the beneficial effects of intensive management of blood glucose. In the Diabetes Control and Complications Trial supported by the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), researchers found a 50 percent decrease in both development and progression of early diabetic kidney disease in participants who followed an intensive regimen for controlling blood glucose levels. The intensively managed patients had average blood glucose levels of 150 milligrams per deciliterabout 80 milligrams per deciliter lower than the levels observed in the conventionally managed patients. The United Kingdom Prospective Diabetes Study, conducted from 1976 to 1997, showed conclusively that, in people with improved blood glucose control, the risk of early kidney disease was reduced by a third. Additional studies conducted over the past decades have clearly established that any program resulting in sustained lowering of blood glucose levels will be beneficial to patients in the early stages of CKD."
information,What is (are) Prevent diabetes problems: Keep your kidneys healthy ?,"Blood pressure is the force of blood flow inside your blood vessels. Blood pressure is written with two numbers separated by a slash. For example, a blood pressure result of 130/80 is said as 130 over 80. The first number is the pressure in your blood vessels as your heart beats and pushes blood through your blood vessels. The second number is the pressure as your blood vessels relax between heartbeats.
                
High blood pressure forces your heart to work harder to pump blood. High blood pressure can strain your heart, damage your blood vessels, and increase your risk of heart attack, stroke, eye problems, and kidney problems."
susceptibility,Who is at risk for Proteinuria? ?,"People with diabetes, hypertension, or certain family backgrounds are at risk for proteinuria. In the United States, diabetes is the leading cause of ESRD.1 In both type 1 and type 2 diabetes, albumin in the urine is one of the first signs of deteriorating kidney function. As kidney function declines, the amount of albumin in the urine increases.
                
Another risk factor for developing proteinuria is hypertension, or high blood pressure. Proteinuria in a person with high blood pressure is an indicator of declining kidney function. If the hypertension is not controlled, the person can progress to full kidney failure.
                
African Americans are more likely than Caucasians to have high blood pressure and to develop kidney problems from it, even when their blood pressure is only mildly elevated. In fact, African Americans are six times more likely than Caucasians to develop hypertension-related kidney failure.2
                
Other groups at risk for proteinuria are American Indians, Hispanics/Latinos, Pacific Islander Americans, older adults, and overweight people. These at-risk groups and people who have a family history of kidney disease should have their urine tested regularly."
prevention,How to prevent Prevent diabetes problems: Keep your heart and blood vessels healthy ?,"You can do a lot to prevent heart disease and stroke.
                
- Keep your blood glucose under control. You can see if your blood glucose is under control by having an A1C test at least twice a year. The A1C test tells you your average blood glucose for the past 2 to 3 months. The target for most people with diabetes is below 7. In some people with heart disease or other special circumstances, their doctor may recommend slightly higher levels of A1C.  - Keep your blood pressure under control. Have it checked at every doctor visit. The target for most people with diabetes is below 140/80, unless their doctor sets a different target.  - Keep your cholesterol under control. Have it checked at least once a year. The targets for most people with diabetes are      - LDLbadcholesterol: below 100    - HDLgoodcholesterol: above 40 in men and above 50 in women    - triglyceridesanother type of fat in the blood: below 150    - Make sure the foods you eat are ""heart-healthy."" Include foods high in fiber, such as oat bran, oatmeal, whole-grain breads and cereals, fruits, and vegetables. Cut back on foods high in saturated fat or cholesterol, such as meats, butter, dairy products with fat, eggs, shortening, lard, and foods with palm oil or coconut oil. Limit foods with trans fat, such as snack foods and commercial baked goods.  - If you smoke, quit. Your doctor can tell you about ways to help you quit smoking.  - Ask your doctor whether you should take an aspirin every day. Studies have shown that taking a low dose of aspirin every day can help reduce your risk of heart disease and stroke.  - Take your medicines as directed."
symptoms,What are the symptoms of Prevent diabetes problems: Keep your heart and blood vessels healthy ?,"A stroke happens when part of your brain is not getting enough blood and stops working. Depending on the part of the brain that is damaged, a stroke can cause
                
- sudden weakness or numbness of your face, arm, or leg on one side of your body  - sudden confusion, trouble talking, or trouble understanding  - sudden dizziness, loss of balance, or trouble walking  - sudden trouble seeing in one or both eyes or sudden double vision  - sudden severe headache
                
Sometimes, one or more of these warning signs may happen and then disappear. You might be having a ""mini-stroke,"" also called a TIA or a transient ischemic attack. If you have any of these warning signs, call 911 right away. Getting care for a TIA may reduce or prevent a stroke. Getting prompt treatment for a stroke can reduce the damage to the brain and improve chances for recovery."
causes,What causes What I need to know about Kidney Failure and How Its Treated ?,"Diabetes and high blood pressure are the most common causes of kidney failure. Other factors include heart and blood vessel disease and a family history of kidney failure. African Americans, Hispanics/Latinos, and American Indians are more likely to have kidney failure."
information,"What is (are) Diabetes, Heart Disease, and Stroke ?","Diabetes is a disorder of metabolismthe way our bodies use digested food for energy. Most of the food we eat is broken down into glucose, the form of sugar in the blood. Glucose is the body's main source of fuel.
                
After digestion, glucose enters the bloodstream. Then glucose goes to cells throughout the body where it is used for energy. However, a hormone called insulin must be present to allow glucose to enter the cells. Insulin is a hormone produced by the pancreas, a large gland behind the stomach.
                
In people who do not have diabetes, the pancreas automatically produces the right amount of insulin to move glucose from blood into the cells. However, diabetes develops when the pancreas does not make enough insulin, or the cells in the muscles, liver, and fat do not use insulin properly, or both. As a result, the amount of glucose in the blood increases while the cells are starved of energy.
                
Over time, high blood glucose levels damage nerves and blood vessels, leading to complications such as heart disease and stroke, the leading causes of death among people with diabetes. Uncontrolled diabetes can eventually lead to other health problems as well, such as vision loss, kidney failure, and amputations."
information,"What is (are) Diabetes, Heart Disease, and Stroke ?","Prediabetes is a condition in which blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. Prediabetes is also called impaired fasting glucose or impaired glucose tolerance. Many people with prediabetes develop type 2 diabetes within 10 years. In addition, they are at risk for heart disease and stroke. With modest weight loss and moderate physical activity, people with prediabetes can delay or prevent type 2 diabetes and lower their risk of heart disease and stroke."
information,"What is (are) Diabetes, Heart Disease, and Stroke ?","If you have diabetes, you are at least twice as likely as someone who does not have diabetes to have heart disease or a stroke. People with diabetes also tend to develop heart disease or have strokes at an earlier age than other people. If you are middle-aged and have type 2 diabetes, some studies suggest that your chance of having a heart attack is as high as someone without diabetes who has already had one heart attack. Women who have not gone through menopause usually have less risk of heart disease than men of the same age. But women of all ages with diabetes have an increased risk of heart disease because diabetes cancels out the protective effects of being a woman in her child-bearing years.
                
People with diabetes who have already had one heart attack run an even greater risk of having a second one. In addition, heart attacks in people with diabetes are more serious and more likely to result in death. High blood glucose levels over time can lead to increased deposits of fatty materials on the insides of the blood vessel walls. These deposits may affect blood flow, increasing the chance of clogging and hardening of blood vessels (atherosclerosis)."
information,"What is (are) Diabetes, Heart Disease, and Stroke ?","If you have diabetes, you are at least twice as likely as someone who does not have diabetes to have heart disease or a stroke. People with diabetes also tend to develop heart disease or have strokes at an earlier age than other people. If you are middle-aged and have type 2 diabetes, some studies suggest that your chance of having a heart attack is as high as someone without diabetes who has already had one heart attack. Women who have not gone through menopause usually have less risk of heart disease than men of the same age. But women of all ages with diabetes have an increased risk of heart disease because diabetes cancels out the protective effects of being a woman in her child-bearing years.
                
People with diabetes who have already had one heart attack run an even greater risk of having a second one. In addition, heart attacks in people with diabetes are more serious and more likely to result in death. High blood glucose levels over time can lead to increased deposits of fatty materials on the insides of the blood vessel walls. These deposits may affect blood flow, increasing the chance of clogging and hardening of blood vessels (atherosclerosis)."
susceptibility,"Who is at risk for Diabetes, Heart Disease, and Stroke? ?","Diabetes itself is a risk factor for heart disease and stroke. Also, many people with diabetes have other conditions that increase their chance of developing heart disease and stroke. These conditions are called risk factors. One risk factor for heart disease and stroke is having a family history of heart disease. If one or more members of your family had a heart attack at an early age (before age 55 for men or 65 for women), you may be at increased risk.
                
You can't change whether heart disease runs in your family, but you can take steps to control the other risk factors for heart disease listed here:
                
- Having central obesity. Central obesity means carrying extra weight around the waist, as opposed to the hips. A waist measurement of more than 40 inches for men and more than 35 inches for women means you have central obesity. Your risk of heart disease is higher because abdominal fat can increase the production of LDL (bad) cholesterol, the type of blood fat that can be deposited on the inside of blood vessel walls.  - Having abnormal blood fat (cholesterol) levels.      - LDL cholesterol can build up inside your blood vessels, leading to narrowing and hardening of your arteriesthe blood vessels that carry blood from the heart to the rest of the body. Arteries can then become blocked. Therefore, high levels of LDL cholesterol raise your risk of getting heart disease.    - Triglycerides are another type of blood fat that can raise your risk of heart disease when the levels are high.    - HDL (good) cholesterol removes deposits from inside your blood vessels and takes them to the liver for removal. Low levels of HDL cholesterol increase your risk for heart disease.    - Having high blood pressure. If you have high blood pressure, also called hypertension, your heart must work harder to pump blood. High blood pressure can strain the heart, damage blood vessels, and increase your risk of heart attack, stroke, eye problems, and kidney problems.  - Smoking. Smoking doubles your risk of getting heart disease. Stopping smoking is especially important for people with diabetes because both smoking and diabetes narrow blood vessels. Smoking also increases the risk of other long-term complications, such as eye problems. In addition, smoking can damage the blood vessels in your legs and increase the risk of amputation."
